Timestamp,Latitude,Longitude,Altitude,Satellites,GPS_Quality,HDOP
1769278038,35.649635,139.791519,17.3,9,1,1.8
1769278053,35.649628,139.791504,16.5,8,1,2.0
1769278058,35.649628,139.791504,16.5,8,1,2.0
1769278065,35.649628,139.791504,16.5,9,1,1.7
1769278068,35.649628,139.791504,16.5,10,1,1.7
1769278081,35.649628,139.791504,16.5,11,1,1.9
1769278098,35.649628,139.791504,16.5,12,1,1.8
1769278201,35.649544,139.791763,20.6,10,1,2.3
1769278204,35.649529,139.791809,17.6,10,1,2.3
1769278218,35.649513,139.791901,7.1,10,1,2.3